customer_id,age,gender,occupation,field,income_level,current_phone_brand,current_phone_model_year,,,,,,,,,,,,
1,35,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
2,22,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
3,48,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
4,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
5,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
6,41,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
7,20,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
8,33,Male,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
9,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
10,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
11,38,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
12,24,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
13,51,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
14,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
15,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
16,36,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
17,21,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
18,49,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
19,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
20,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
21,34,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
22,23,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
23,47,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
24,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
25,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
26,39,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
27,19,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
28,50,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
29,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
30,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
31,37,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
32,25,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
33,46,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
34,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
35,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
36,40,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
37,18,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
38,52,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
39,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
40,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
41,35,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
42,22,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
43,48,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
44,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
45,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
46,41,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
47,20,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
48,33,Male,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
49,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
50,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
51,38,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
52,24,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
53,51,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
54,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
55,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
56,36,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
57,21,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
58,49,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
59,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
60,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
61,34,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
62,23,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
63,47,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
64,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
65,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
66,39,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
67,19,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
68,50,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
69,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
70,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
71,37,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
72,25,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
73,46,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
74,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
75,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
76,40,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
77,18,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
78,52,Female,Employed,Software Engineer,High,Apple,2023,,,,,,,,,,,,
79,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
80,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
81,35,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
82,22,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
83,48,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
84,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
85,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
86,41,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
87,20,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
88,33,Male,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
89,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
90,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
91,38,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
92,24,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
93,51,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
94,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
95,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
96,36,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
97,21,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
98,49,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
99,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
100,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
101,34,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
102,23,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
103,47,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
